,id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,isSavedOffLine,firstName,lastName,fullName,teamColor,league_name,league_season,shortName,isFromInsideBox
7,2634368215,AttemptSaved,9750,1072519,Ercan Kara,95.15789473550001,30.232,51,,False,True,101.0172413796,32.09375,32.0175,0.0834736838,0.2971589267253876,0.4765,LeftFoot,FromCorner,SecondHalf,False,"{'x': 1.5244708994709, 'y': 0.02208298513227513, 'zoomRatio': 1}",False,Ercan,Kara,Ercan Kara,#DE0102,Super Lig,2023/2024,,
8,2634371587,AttemptSaved,2088,237631,Valentin Eysseric,85.81617647,25.418125,57,,True,True,90.0,26.942142857,33.8475,1.2199999940000001,0.07997071743011475,,RightFoot,RegularPlay,SecondHalf,False,"{'x': 1.0403439153439162, 'y': 0.32275132116402117, 'zoomRatio': 1}",False,Valentin,Eysseric,Valentin Eysseric,#B41D2C,Super Lig,2023/2024,,
9,2634376317,AttemptSaved,9750,1072519,Ercan Kara,80.79563106879999,44.981656046699996,66,,False,True,102.8189655174,34.68625,34.915000000000006,0.28252631440000003,0.03129434958100319,0.0466,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0.7579365079365064, 'y': 0.07474241121693122, 'zoomRatio': 1}",False,Ercan,Kara,Ercan Kara,#DE0102,Super Lig,2023/2024,,
10,2634376741,Miss,2088,299886,Kevin Lasagna,90.9,48.8351592332,67,,False,False,,,39.797142858,1.8749473592,0.04196584224700928,,LeftFoot,RegularPlay,SecondHalf,False,"{'x': -2.220446049250313e-16, 'y': 0.3234261092276846, 'zoomRatio': 0.6520453424368587}",False,Kevin,Lasagna,Kevin Lasagna,#B41D2C,Super Lig,2023/2024,,
11,2634378333,Miss,2088,1073569,Can Keles,82.1470873792,46.5931210156,70,,False,False,,,30.279999999999998,5.305931043199999,0.02108124829828739,,RightFoot,RegularPlay,SecondHalf,False,"{'x': 1.4748205468282252, 'y': 0.6772486772486772, 'zoomRatio': 0.48247894274480957}",False,Can,Keles,Can Keles,#B41D2C,Super Lig,2023/2024,,
12,2634382859,Miss,9750,1072519,Ercan Kara,97.95614035039999,30.291999999999998,77,,False,False,,,26.574375,2.4078947250000002,0.078937828540802,,Header,RegularPlay,SecondHalf,False,"{'x': 2, 'y': 0.3242682905479339, 'zoomRatio': 0.5090480599276158}",False,Ercan,Kara,Ercan Kara,#DE0102,Super Lig,2023/2024,,
13,2634385495,Miss,9750,305679,Emre Kilinc,77.8674757296,18.5342675181,81,,False,False,,,44.35108279800001,3.3768275888,0.01726337894797325,,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 0, 'y': 0.3262294056282166, 'zoomRatio': 0.3651791869281884}",False,Emre,Kilinc,Emre Kilinc,#DE0102,Super Lig,2023/2024,,
14,2634385793,AttemptSaved,9750,161665,Soner Aydogdu,87.85588235280001,37.744,81,,False,True,103.9568965518,34.838750000000005,36.21125,0.28252631440000003,0.06551534682512283,0.1686,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 0.41501322751322767, 'y': 0.07474241121693122, 'zoomRatio': 1}",False,Soner,Aydogdu,Soner Aydogdu,#DE0102,Super Lig,2023/2024,,
15,2634386579,Miss,2088,950417,Güven Yalcin,92.9,23.2985987305,82,,False,False,,,29.127380951,0.1797894728,0.05188354477286339,,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 2, 'y': 0.036897912804592814, 'zoomRatio': 0.7757634984363826}",False,Güven,Yalcin,Güven Yalcin,#B41D2C,Super Lig,2023/2024,,
16,2634387695,Goal,9750,1072519,Ercan Kara,103.00862068980001,29.883809522,84,,False,True,,,31.331249999999997,0.3274736826,0.38723644614219666,0.7997,Header,RegularPlay,SecondHalf,False,"{'x': 1.7060185185185193, 'y': 0.08663324936507935, 'zoomRatio': 1}",False,Ercan,Kara,Ercan Kara,#DE0102,Super Lig,2023/2024,,
